N,k,seed,J_opt,t_opt_s,J_ro_fcfs,t_ro_fcfs_s,gap_ro_fcfs_pct,J_ro_edf,t_ro_edf_s,gap_ro_edf_pct,J_ro_scdf,t_ro_scdf_s,gap_ro_scdf_pct,J_fcfs,t_fcfs_s,gap_fcfs_pct,J_edf,t_edf_s,gap_edf_pct,J_scdf,t_scdf_s,gap_scdf_pct
5,0,5000,625.0297626928448,0.08298690000083297,625.0297626928448,0.0027332000026945025,0.0,625.0297626928448,0.0028362000011838973,0.0,625.0297626928448,0.002797099994495511,0.0,1087.7022477982373,5.210001836530864e-05,74.02407256768689,642.6323333888674,4.8999994760379195e-05,2.8162771993744258,642.6323333888674,4.120002267882228e-05,2.8162771993744258
5,1,5001,586.3566625847615,0.08664299998781644,586.3566625847615,0.003341600007843226,0.0,586.3566625847615,0.003012799978023395,0.0,586.3566625847615,0.002907899994170293,0.0,925.014225697732,4.020001506432891e-05,57.75624030945763,610.8982209067309,3.9300008211284876e-05,4.185431817860823,610.8982209067309,3.809999907389283e-05,4.185431817860823
5,2,5002,679.176937572291,0.08308139999280684,679.176937572291,0.0029249000072013587,0.0,679.176937572291,0.002820699999574572,0.0,679.176937572291,0.0027937999984715134,0.0,967.5574865263577,3.880000440403819e-05,42.460297604462134,761.0902068651997,3.940000897273421e-05,12.060667075314218,792.1092538367836,3.850000211969018e-05,16.627819647140516
6,0,6000,1107.3239472773282,1.0269945000181906,1107.3239472773282,0.005307000013999641,0.0,1107.3239472773294,0.0050645000010263175,1.0266809274842069e-13,1107.3239472773282,0.004844700015382841,0.0,1556.6932484933213,5.479998071677983e-05,40.58155721466114,1107.3239472773294,5.01000031363219e-05,1.0266809274842069e-13,1241.8560601600013,4.980000085197389e-05,12.149300411452195
6,1,6001,935.5314287602123,0.8841380999947432,935.5314287602123,0.004810899990843609,0.0,935.5314287602123,0.005251499998848885,0.0,935.5314287602123,0.004958000004990026,0.0,1709.6719863407475,5.800000508315861e-05,82.74874940400923,935.5314287602123,4.8200017772614956e-05,0.0,935.5314287602123,4.700000863522291e-05,0.0
6,2,6002,621.4434119087948,0.9645638999936637,621.4434119087948,0.007593399990582839,0.0,621.4434119087948,0.005096100008813664,0.0,621.4434119087948,0.0048433000047225505,0.0,1174.7592204080427,4.980000085197389e-05,89.03719918756728,621.4434119087972,4.939999780617654e-05,3.8417393223637927e-13,621.4434119087948,4.779998562298715e-05,0.0
7,0,7000,1569.913474946511,9.311428500019247,1599.630396927899,0.00736070002312772,1.892901899093543,1569.913474946511,0.007775300007779151,0.0,1569.913474946511,0.007758299994748086,0.0,2285.349035871045,5.679999594576657e-05,45.571655530181985,1569.913474946511,5.469997995533049e-05,0.0,1569.913474946511,5.4100004490464926e-05,0.0
7,1,7001,1698.6361575074745,9.027270799997495,1901.1242150238568,0.007497999991755933,11.920625651434788,1698.6361575074745,0.007867799984524027,0.0,1698.6361575074745,0.007569300010800362,0.0,2506.366325006692,5.479998071677983e-05,47.551688095728245,1716.0138215583058,5.679999594576657e-05,1.0230362737792382,1716.0138215583058,5.549998604692519e-05,1.0230362737792382
7,2,7002,1510.9776962980472,9.528430200007278,1541.1283346111138,0.007508099981350824,1.995439005283584,1541.1283346111138,0.007987999997567385,1.995439005283584,1510.9776962980472,0.007587200001580641,0.0,1902.9944800133112,5.500001134350896e-05,25.94457778402156,1584.0035542750159,5.289999535307288e-05,4.83302024615484,1510.9776962980472,5.23999915458262e-05,0.0
8,0,8000,1732.3396744164238,104.76040870000725,1732.3396744164238,0.010336299979826435,0.0,1732.3396744164238,0.009930800006259233,0.0,1732.3396744164238,0.01060969999525696,0.0,2514.063647795042,6.229997961781919e-05,45.12532876336501,1867.8300107504256,6.059999577701092e-05,7.821233810837048,1967.2125881579734,6.150000263005495e-05,13.558132807913184
